"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"133","St.Osyth",4,0,0,"Background Rural",51.77798,1.049031,"Eastern","Eastern",213210.31,610431.29,8,"05/11/2002","12/31/09","UKA00445"
"134","Stanford.le.Hope.Roadside",4,0,0,"Traffic Urban",51.518167,0.439548,"Eastern","Eastern",182737.17,569358.49,18,"1/22/08","2/26/19","UKA00525"
"135","Stockton.on.Tees.A1305.Roadside",3,0,0,"Traffic Urban",54.565819,-1.3159,"Teesside Urban Area","North East",519169.64,444331,15,"05/01/2015","10/09/2018","UKA00599"
"136","Stockton.on.Tees.Eaglescliffe",3,0,0,"Traffic Urban",54.516667,-1.358547,"North East","North East",513674.44,441623.38,29,"09/01/2008",NA,"UKA00535"
"137","Stoke.on.Trent.A50.Roadside",2,0,0,"Traffic Urban",52.980436,-2.111898,"The Potteries","West Midlands",342571.56,392584.1,179,"5/22/15","10/23/18","UKA00610"
"138","Stoke.on.Trent.Centre",2,0,0,"Background Urban",53.02821,-2.175133,"The Potteries","West Midlands",347894.69,388351.33,172,"03/11/1997","05/01/2019","UKA00337"
"139","Storrington.Roadside",1,0,0,"Traffic Urban",50.916932,-0.449548,"South East","South East",114196.6,509085.61,41,"08/01/2009","1/27/17","UKA00548"
"140","Sunderland.Silksworth",3,0,0,"Background Urban",54.88361,-1.406878,"North East","North East",554478.51,438149.81,110,"12/09/2004","9/26/19","UKA00484"
"141","Sunderland.Wessington.Way",3,0,0,"Traffic Urban",54.91839,-1.408391,"North East","North East",558348,438020,29,"1/15/15",NA,"UKA00601"
"142","Swansea.Roadside",1,0,0,"Traffic Urban",51.632696,-3.947374,"Swansea Urban Area","South Wales",194450.54,265319,61,"9/20/06","11/16/11","UKA00497"
"143","Swindon.Walcot",1,0,0,"Background Urban",51.558061,-1.765678,"South West","South West",184379,416341,104,"01/01/2018",NA,"UKA00650"
"144","Telford.Hollinswood",2,0,0,"Background Urban",52.673471,-2.436692,"West Midlands","West Midlands",308508,370569,134,"11/01/2017",NA,"UKA00648"
"145","Thurrock",4,0,0,"Background Urban",51.47707,0.317969,"Eastern","Eastern",177893.1,561068.85,8,"09/01/1996","10/30/18","UKA00272"
"146","Tower.Hamlets.Roadside",4,0,0,"Traffic Urban",51.52253,-0.042155,"Greater London Urban Area","Greater London Urban Area",182218.1,535927.05,20,"04/01/1996","12/31/12","UKA00257"
"147","Walsall.Woodlands",2,0,0,"Background Urban",52.605621,-2.030523,"West Midlands Urban Area","West Midlands",300871.27,398029.99,149,"6/19/12",NA,"UKA00565"
"148","Warrington",2,0,0,"Industrial Urban",53.38928,-2.615358,"North West & Merseyside","North West & Merseyside",388225.53,359171.9,11,"10/21/08","11/21/18","UKA00538"
"149","Wicken.Fen",4,0,0,"Background Rural",52.2985,0.290917,"Eastern","Eastern",269179.35,556315.59,5,"10/15/97",NA,"UKA00362"
"150","Widnes.Milton.Road",2,0,0,"Traffic Urban",53.365391,-2.73168,"North West & Merseyside","North West & Merseyside",385640.92,351408.56,13,"03/09/2015",NA,"UKA00603"
"151","Wigan.Centre",2,0,0,"Background Urban",53.54914,-2.638139,"North West & Merseyside","North West & Merseyside",406023.56,357816.06,45,"10/08/2004","6/20/19","UKA00482"
"152","Wirral.Tranmere",2,0,0,"Background Urban",53.37287,-3.022722,"Birkenhead Urban Area","North West & Merseyside",386710.96,332053.93,38,"5/14/00","8/19/19","UKA00406"
"153","Worthing.A27.Roadside",4,0,0,"Traffic Urban",50.832947,-0.379916,"Brighton/Worthing/Littlehampton","South East",104962.96,514185.01,14,"10/01/2016",NA,"UKA00628"
"154","Wrexham",2,0,0,"Traffic Urban",53.04222,-3.002778,"North Wales","North Wales",349909.25,332865.08,70,"03/01/2002","9/30/18","UKA00440"
"155","Yarner.Wood",1,0,0,"Background Rural",50.5976,-3.71651,"South West","South West",78948.5,278610.58,119,"6/26/87","1/14/14","UKA00168"
"156","York.Bootham",2,0,0,"Background Urban",53.967513,-1.086514,"Yorkshire & Humberside","Yorkshire & Humberside",452767.99,460023.83,15,"01/01/2008","02/10/2009","UKA00523"
"157","York.Fishergate",2,0,0,"Traffic Urban",53.951889,-1.075861,"Yorkshire & Humberside","Yorkshire & Humberside",451038.75,460745.34,16,"01/01/2008","10/10/2018","UKA00524"
